2024-09-30T17:11:54-04:00
Running ./build/run_benchmark
Run on (8 X 3592.16 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.36, 0.90, 1.16
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_co/13_cv                  0.16 %          0.16 %           100 items_per_second=0.16%
BM_gao_additive_fft_co/14_mean                3575 us         3575 us          100 items_per_second=279.691/s
BM_gao_additive_fft_co/14_median              3575 us         3575 us          100 items_per_second=279.748/s
BM_gao_additive_fft_co/14_stddev              7.52 us         7.51 us          100 items_per_second=0.583765/s
BM_gao_additive_fft_co/14_cv                  0.21 %          0.21 %           100 items_per_second=0.21%
BM_gao_additive_fft_co/15_mean                7924 us         7924 us          100 items_per_second=126.204/s
BM_gao_additive_fft_co/15_median              7922 us         7922 us          100 items_per_second=126.236/s
BM_gao_additive_fft_co/15_stddev              9.05 us         9.01 us          100 items_per_second=0.143466/s
BM_gao_additive_fft_co/15_cv                  0.11 %          0.11 %           100 items_per_second=0.11%
BM_gao_additive_fft_co/16_mean               17427 us        17427 us          100 items_per_second=57.3835/s
BM_gao_additive_fft_co/16_median             17423 us        17422 us          100 items_per_second=57.3972/s
BM_gao_additive_fft_co/16_stddev              16.9 us         16.7 us          100 items_per_second=0.0549521/s
BM_gao_additive_fft_co/16_cv                  0.10 %          0.10 %           100 items_per_second=0.10%
BM_gao_additive_fft_co/17_mean               38545 us        38542 us          100 items_per_second=25.9459/s
BM_gao_additive_fft_co/17_median             38528 us        38525 us          100 items_per_second=25.9571/s
BM_gao_additive_fft_co/17_stddev              60.9 us         60.9 us          100 items_per_second=0.0409493/s
BM_gao_additive_fft_co/17_cv                  0.16 %          0.16 %           100 items_per_second=0.16%
BM_gao_additive_fft_co/18_mean               97438 us        97431 us          100 items_per_second=10.2638/s
BM_gao_additive_fft_co/18_median             97464 us        97461 us          100 items_per_second=10.2606/s
BM_gao_additive_fft_co/18_stddev               400 us          400 us          100 items_per_second=0.0417373/s
BM_gao_additive_fft_co/18_cv                  0.41 %          0.41 %           100 items_per_second=0.41%
BM_gao_additive_fft_co/19_mean              292518 us       292494 us          100 items_per_second=3.41954/s
BM_gao_additive_fft_co/19_median            290693 us       290671 us          100 items_per_second=3.44032/s
